param,name,side
p_76705_2_,z,-1
p_147472_1_,block,-1
p_151390_0_,buffer,-1
p_74742_1_,nbt,-1
p_i1584_1_,armor,-1
p_147460_2_,y,-1
p_i45430_1_,crop,-1
p_147459_2_,y,-1
p_147796_3_,y,-1
p_147460_1_,x,-1
p_i45429_1_,material,-1
p_147447_4_,ignoreBlockWithoutBoundingBox,-1
p_i1738_1_,world,-1
p_147459_3_,z,-1
p_147796_2_,x,-1
p_146086_1_,itemStack,-1
p_147447_5_,returnLastUncollidableBlock,-1
p_78889_0_,x,-1
p_85173_1_,player,-1
p_i1198_2_,xCoord,-1
p_76730_1_,rand,-1
p_76455_1_,entity,-1
p_78889_1_,y,-1
p_150810_1_,posX,-1
p_78890_1_,x,-1
p_85173_3_,volume,-1
p_78889_2_,z,-1
p_74298_0_,key,-1
p_150810_2_,posY,-1
p_78890_2_,y,-1
p_85173_2_,name,-1
p_78889_3_,offsetX,-1
p_71499_2_,throwable,-1
p_i1198_1_,world,-1
p_150810_3_,posZ,-1
p_78890_3_,z,-1
p_78889_4_,offsetY,-1
p_i1174_1_,value,-1
p_147423_1_,x,-1
p_71499_1_,sectionName,-1
p_78889_5_,offsetZ,-1
p_85173_4_,pitch,-1
p_74524_0_,capacity,-1
p_78889_6_,sizeX,-1
p_147423_3_,z,-1
p_78889_7_,sizeY,-1
p_77609_1_,craftManager,-1
p_i1174_2_,json,-1
p_147423_2_,y,-1
p_78889_8_,sizeZ,-1
p_i1149_1_,modelSize,-1
p_78889_9_,facing,-1
p_147734_1_,block,-1
p_i1149_3_,textureWidth,-1
p_i45095_5_,mipmapLevel,-1
p_i1149_4_,textureHeight,-1
p_147734_4_,y,-1
p_147746_3_,y,-1
p_75489_1_,speed,-1
p_71152_2_,maxXP,-1
p_150654_1_,pos,-1
p_147746_2_,x,-1
p_i45095_2_,maxTextureHeight,-1
p_71152_3_,level,-1
p_77442_1_,achievement,-1
p_147734_2_,x,-1
p_i45095_1_,maxTextureWidth,-1
p_147746_1_,block,-1
p_i1787_6_,z,-1
p_149255_1_,index,-1
p_73836_1_,width,-1
p_147783_1_,block,-1
p_72694_3_,chunkZ,-1
p_111109_1_,value,-1
p_94525_3_,slotStackSize,-1
p_i45357_1_,block,-1
p_147517_5_,posZ,-1
p_92115_1_,stack,-1
p_147734_8_,texture,-1
p_92115_2_,enchantment,-1
p_147783_2_,x,-1
p_i45333_3_,effectiveBlocks,-1
p_94525_2_,stack,-1
p_76128_0_,value,-1
p_72694_1_,player,-1
p_73080_1_,serverWorld,-1
p_110242_1_,breeding,-1
p_147734_6_,z,-1
p_147517_3_,posY,-1
p_147783_4_,z,-1
p_73836_2_,height,-1
p_72694_2_,chunkX,-1
p_111099_1_,pos,-1
p_147795_1_,block,-1
p_149002_1_,data,-1
p_147783_3_,y,-1
p_147746_4_,z,-1
p_i2344_2_,message,-1
p_147517_1_,posX,-1
p_73031_6_,z2,-1
p_i45404_1_,material,-1
p_75755_2_,tagCompound,-1
p_110989_1_,texture,-1
p_149940_1_,stack,-1
p_i45321_1_,world,-1
p_75755_1_,worldInformation,-1
p_110989_0_,textureId,-1
p_i45333_2_,material,-1
p_94525_1_,dragMode,-1
p_72885_10_,damagesTerrain,-1
p_110989_3_,clamp,-1
p_94525_0_,dragSlots,-1
p_i1101_1_,mc,-1
p_72716_1_,entity,-1
p_147517_0_,mobSpawnerLogic,-1
p_i45333_1_,attackDamage,-1
p_i2344_1_,holder,-1
p_75743_1_,key,-1
p_110989_2_,blur,-1
p_72716_2_,doATonOfLaggyChunkUpdates,-1
p_i2307_3_,objectiveCriteria,-1
p_75802_1_,saveName,-1
p_73031_2_,y1,-1
p_149903_2_,x,-1
p_149903_1_,world,-1
p_96527_1_,name,-1
p_73031_3_,z1,-1
p_76659_1_,newBlocklightArray,-1
p_i1654_1_,entity,-1
p_73031_4_,x2,-1
p_149939_0_,coords,-1
p_76274_1_,pool,-1
p_96539_1_,slot,-1
p_i45453_1_,block,-1
p_73031_5_,y2,-1
p_94095_1_,source,-1
p_147051_1_,tab,-1
p_i2161_10_,cheatsEnabled,-1
p_76274_0_,random,-1
p_149903_5_,side,-1
p_102007_1_,slot,-1
p_147517_7_,partialTicks,-1
p_i2307_1_,scoreboard,-1
p_70799_1_,size,-1
p_149903_4_,z,-1
p_85102_10_,pitch,-1
p_i2307_2_,name,-1
p_i1678_1_,world,-1
p_73031_1_,x1,-1
p_149903_3_,y,-1
p_148266_1_,value,-1
p_147892_1_,cameraEntity,-1
p_102007_3_,side,-1
p_i1632_4_,chance,-1
p_70691_1_,healAmount,-1
p_151391_1_,buffer,-1
